Dataset,PopSize,Generations,MutRate,CrossRate,EliteSize,Selection,Crossover,Mutation,BestDist,DiffOpt,Time
ATT48,100,500,0.05,0.8,0.1,Tournament,OX,Swap,13971.0,31.454648099360185,4.125753879547119
ATT48,251,2000,0.05,0.8,0.1,Tournament,OX,Swap,13112.0,23.372224313135114,20.994303941726685
ATT48,251,2000,0.01,0.5,0.1,Tournament,PMX,Swap,16211.0,52.53105005645465,18.667384147644043
ATT48,500,2000,0.2,1.0,0.2,Tournament,OX,Swap,11156.0,4.968009032743695,30.773957014083862
ATT48,500,2000,0.2,1.0,0.2,Roulette Wheel,OX,Swap,10680.0,0.48927361686112153,29.38547396659851
ATT48,500,1003,0.2,1.0,0.2,Roulette Wheel,OX,Inversion,10448.0,-1.6936394429808055,14.89088225364685
Berlin52,500,1003,0.2,1.0,0.2,Roulette Wheel,OX,Inversion,8024.0,6.390877751259613,15.623539924621582
Berlin52,500,1003,0.2,1.0,0.2,Roulette Wheel,PMX,Inversion,8425.0,11.707769822328295,14.0193190574646
Berlin52,500,2000,0.2,1.0,0.1,Roulette Wheel,PMX,Inversion,8262.0,9.54653937947494,28.61559796333313
Berlin52,50,2000,0.2,1.0,0.1,Tournament,OX,Inversion,8374.0,11.031556616282154,15.251632928848267
Berlin52,500,2000,0.15,0.84,0.1,Roulette Wheel,OX,Inversion,7542.0,0.0,31.086327075958252
Berlin52,500,2000,0.15,0.7,0.1,Roulette Wheel,OX,Inversion,7839.0,3.9379474940334127,29.84595513343811
Berlin52,500,2000,0.15,0.5,0.1,Roulette Wheel,OX,Inversion,7715.0,2.2938212675682843,28.040775775909424
Berlin52,500,2000,0.15,0.5,0.1,Tournament,OX,Inversion,7973.0,5.714664545213472,29.25630211830139
Berlin52,500,2000,0.01,0.5,0.05,Tournament,OX,Inversion,8717.0,15.579421904004242,29.483868837356567
Berlin52,500,2000,0.01,0.5,0.05,Roulette Wheel,OX,Inversion,7775.0,3.0893662158578623,28.255202054977417
